id; user; actions;
0; 9; Успешно прошел курс "..."!;
1; 4; Получил 50 пряников за предложенную идею!;
2; 9; Успешно провел встречу с инвесторами!;
3; 0; Добавил новый курс в раздел "Учебная комната"!;
4; 6; Успешно провел набор сотрудников в коллектив!;
5; 11; Добавил новый курс в раздел "Мои курсы"!;
6; 1; Получил 100 пряников за предложенную идею!;
7; 12; Успешно прошел курс "..."!;
8; 3; Обновил данные профиля!;
9; 0; Получил 50 пряников за предложенную идею!;
10; 9; Вышел на новый уровень!;
11; 9; Получил 50 пряников за предложенную идею!;
12; 4; Вышел на новый уровень!;
13; 14; Успешно прошел курс "..."!;
14; 8; Вышел на новый уровень!;
15; 7; Вышел на новый уровень!;
16; 4; Успешно прошел курс "..."!;
17; 3; Предлагает стать друзьями!;
18; 0; Получил 100 пряников за предложенную идею!;
19; 14; Получил 50 пряников за предложенную идею!;
