id; name; url; type(documets,images,audio,spam,zip); label(Недавние,Общие файлы,Отмеченные,Важные,Корзина);
0; event_logo.ai; ; images; Общие файлы;
1; event_regulations.doc; ; documets; Общие файлы;
2; event_logo.jpg; ; images; Общие файлы;
3; conference_audio_file.mp3; ; audio; Важные;
4; conference_video_file.mp4; ; documets; Важные;
5; conference_presentation.pdf; ; documets; Важные;
6; conference_logo.psd; ; images; Общие файлы;
7; conference_regulations.txt; ; documets; Важные;
8; conference_files.zip; ; zip; Важные;
9; about_the_site.doc; ; documets; Общие файлы;
10; basket(folder); ; documets; Общие файлы;
11; greeting_image.jpg; ; images; Корзина;
12; greeting_audio_file.mp3; ; audio; Корзина;
13; greeting_video_file.mp4; ; documets; Недавние;
14; employee_book.pdf; ; documets; Недавние;
15; greeting_text.txt; ; documets; Корзина;
16; greeting_documents.zip; ; zip; Общие файлы;
17; history_of_the_company.txt; ; documets; Общие файлы;
18; documents_for_newbies.zip; ; zip; Важные;
19; employee_book.doc; ; documets; Отмеченные;
20; documents_for_newbies(folder); ; documets; Отмеченные;
21; rosatom_logo.jpg; ; images; Отмеченные;
22; notification.mp3; ; audio; Важные;
23; introductory_video.mp4; ; documets; Недавние;
24; documentation.pdf; ; documets; Важные;
