id;user;friend;
0;0;11;
1;0;2;
2;0;4;
3;0;10;
4;0;14;
5;0;4;
6;0;3;
7;0;3;
8;0;7;
9;0;14;
10;0;5;
11;1;5;
12;1;0;
13;1;12;
14;1;0;
15;1;11;
16;1;10;
17;1;2;
18;1;12;
19;1;6;
20;1;6;
21;2;9;
22;2;1;
23;2;3;
24;2;7;
25;2;7;
26;2;6;
27;2;11;
28;2;8;
29;2;5;
30;2;1;
31;3;6;
32;3;11;
33;3;2;
34;3;9;
35;3;7;
36;3;2;
37;3;4;
38;3;10;
39;3;9;
40;3;8;
41;4;6;
42;4;2;
43;4;3;
44;4;3;
45;4;14;
46;4;6;
47;4;1;
48;4;8;
49;4;13;
50;4;2;
51;5;14;
52;5;7;
53;5;12;
54;5;12;
55;5;4;
56;5;8;
57;5;6;
58;5;4;
59;5;13;
60;5;1;
61;6;5;
62;6;5;
63;6;12;
64;6;3;
65;6;1;
66;6;10;
67;6;2;
68;6;4;
69;6;13;
70;6;11;
71;7;0;
72;7;5;
73;7;9;
74;7;10;
75;7;5;
76;7;6;
77;7;6;
78;7;3;
79;7;8;
80;7;9;
81;8;7;
82;8;9;
83;8;4;
84;8;6;
85;8;5;
86;8;1;
87;8;11;
88;8;11;
89;8;13;
90;8;9;
91;9;8;
92;9;11;
93;9;13;
94;9;2;
95;9;13;
96;9;8;
97;9;12;
98;9;8;
99;9;11;
100;9;3;
101;10;5;
102;10;4;
103;10;3;
104;10;9;
105;10;0;
106;10;12;
107;10;11;
108;10;8;
109;10;6;
110;10;11;
111;11;5;
112;11;14;
113;11;7;
114;11;0;
115;11;9;
116;11;2;
117;11;3;
118;11;12;
119;11;12;
120;11;1;
121;12;0;
122;12;11;
123;12;6;
124;12;5;
125;12;2;
126;12;0;
127;12;4;
128;12;11;
129;12;7;
130;12;5;
131;13;10;
132;13;6;
133;13;4;
134;13;1;
135;13;10;
136;13;12;
137;13;11;
138;13;7;
139;13;12;
140;13;7;
141;14;2;
142;14;3;
143;14;3;
144;14;5;
145;14;13;
146;14;4;
147;14;8;
148;14;11;
149;14;3;
150;14;2;
151;15;1;
152;15;11;
153;15;10;
154;15;3;
155;15;8;
156;15;0;
157;15;11;
158;15;12;
159;15;5;
160;15;10;
161;16;14;
162;16;9;
163;16;2;
164;16;8;
165;16;3;
166;16;10;
167;16;6;
168;16;2;
169;16;5;
170;16;1;
171;17;11;
172;17;14;
173;17;10;
174;17;6;
175;17;6;
176;17;3;
177;17;9;
178;17;3;
179;17;4;
180;17;1;
181;18;9;
182;18;8;
183;18;4;
184;18;3;
185;18;8;
186;18;0;
187;18;8;
188;18;7;
189;18;2;
190;18;8;
191;19;13;
192;19;3;
193;19;13;
194;19;2;
195;19;6;
196;19;0;
197;19;2;
198;19;13;
199;19;4;
200;19;14;
201;20;11;
202;20;5;
203;20;6;
204;20;5;
205;20;14;
206;20;4;
207;20;11;
208;20;13;
209;20;3;
210;20;14;
211;21;13;
212;21;9;
213;21;14;
214;21;4;
215;21;2;
216;21;0;
217;21;10;
218;21;3;
219;21;3;
220;21;13;
221;22;12;
222;22;4;
223;22;8;
224;22;8;
225;22;0;
226;22;3;
227;22;3;
228;22;0;
229;22;11;
230;22;8;
231;23;11;
232;23;14;
233;23;8;
234;23;4;
235;23;7;
236;23;12;
237;23;12;
238;23;13;
239;23;7;
240;23;8;
241;24;14;
242;24;10;
243;24;2;
244;24;8;
245;24;11;
246;24;0;
247;24;13;
248;24;1;
249;24;6;
250;24;2;
251;25;9;
252;25;2;
253;25;0;
254;25;3;
255;25;11;
256;25;7;
257;25;11;
258;25;5;
259;25;8;
